Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,PlayerPictureId,PG,PM,PPTS,PTRB,PAST,PSTL,PBLK,PTO,PFGM,PFGA,P3PM,P3PA,PFTA,PFTM,POREB,PDREB,PDD,PTD
14,OG Anunoby,SF,25,TOR,67,67,35.6,6.3,13.2,0.476,2.1,5.5,0.387,4.2,7.7,0.539,2.1,2.5,0.838,1.4,3.5,5,2,1.9,0.7,2,16.8,2386,421,885,142,367,279,518,140,167,95,237,332,131,128,50,132,1124,1628384,67,35.50746,17.8209,5.68657,2.70149,1.86567,0.53731,1.73134,6.65672,14.38806,2.40299,6.19403,2.10448,2.53731,1.59701,4.10448,3,0
15,Ryan Arcidiacono,PG,28,NYK,20,4,8.6,0.5,1.9,0.243,0.4,1.2,0.348,0.1,0.7,0.071,0,0,0,0,0.8,0.8,1.2,0.3,0,0.4,1.3,172,9,37,8,23,1,14,0,0,0,15,15,23,5,0,7,26,1627853,10,7.6,1.6,0.8,0.4,0.1,0,0.3,0.6,1.2,0.4,0.9,0,0,0,0.8,0,0
16,Deni Avdija,SF-PF,22,WAS,76,40,26.6,3.3,7.6,0.437,0.9,3.1,0.297,2.4,4.6,0.53,1.6,2.2,0.739,1,5.4,6.4,2.8,0.9,0.4,1.6,9.2,2020,253,579,69,232,184,347,122,165,74,413,487,211,65,29,123,697,1630166,77,30.2987,12.57143,7.06494,3.33766,0.8961,0.67532,1.5974,4.53247,10.06494,1.27273,4.02597,2.23377,3,0.87013,6.19481,7,0
17,Deandre Ayton,C,24,POR,67,67,30.4,7.8,13.2,0.589,0.1,0.4,0.292,7.7,12.9,0.597,2.3,3,0.76,2.6,7.4,10,1.7,0.6,0.8,1.8,18,2035,522,887,7,24,515,863,152,200,172,495,667,115,37,53,120,1203,1629028,72,33,19.95833,10.98611,1.91667,0.63889,0.81944,2.01389,8.69444,14.93056,0.09722,0.45833,2.47222,3.29167,2.93056,8.05556,36.8,0
18,Udoka Azubuike,C,23,PHO,36,4,10,1.6,2,0.819,0,0,0,1.6,2,0.819,0.2,0.6,0.35,0.9,2.4,3.3,0.3,0.2,0.4,0.5,3.5,359,59,72,0,0,59,72,7,20,31,88,119,11,6,15,18,125,fallback,17,5.52941,2.29412,2,0,0,0.29412,0.35294,1.05882,1.35294,0,0,0.17647,0.29412,0.52941,1.47059,0,0
19,Marvin Bagley III,PF-C,23,DET,42,25,23.6,4.8,9.1,0.529,0.5,1.6,0.288,4.4,7.5,0.579,1.9,2.6,0.75,2.2,4.2,6.4,0.9,0.5,0.7,1.1,12,990,202,382,19,66,183,316,81,108,94,175,269,36,19,30,46,504,fallback,64,24.5,11.98438,7.21875,0.76563,0.46875,0.39063,0.82813,4.95313,9.53125,0.59375,2.07813,1.48438,2.15625,2.25,4.98438,7.7,0
20,Patrick Baldwin Jr.,SF,20,WAS,31,0,7.3,1.4,3.5,0.394,1,2.7,0.381,0.4,0.8,0.44,0.1,0.2,0.667,0,1.3,1.3,0.4,0.2,0.1,0.4,3.9,226,43,109,32,84,11,25,4,6,1,39,40,11,6,4,11,122,1631116,65,12.70769,6.26154,2.10769,0.81538,0.24615,0.15385,0.78462,1.90769,4.49231,1.30769,3.38462,1.13846,1.55385,0.63077,1.47692,0,0
21,LaMelo Ball,PG-SG,21,CHA,36,36,35.2,8.2,20,0.411,4,10.6,0.376,4.2,9.4,0.45,2.8,3.4,0.836,1.2,5.3,6.4,8.4,1.3,0.3,3.6,23.3,1268,296,721,144,383,152,338,102,122,42,189,231,304,46,11,129,838,1630163,69,33.7971,22.56522,6.75362,8.85507,1.37681,0.42029,3.42029,8.04348,18.97101,3.57971,9.36232,2.89855,3.44928,1.44928,5.30435,25.1,7.4
22,Mo Bamba,C,24,PHI,49,7,15.7,2.4,4.9,0.485,1,2.5,0.387,1.4,2.4,0.59,0.8,1.3,0.661,1.2,3.4,4.6,0.9,0.3,0.9,0.6,6.6,769,117,241,48,124,69,117,41,62,58,167,225,46,13,43,30,323,1628964,55,12.10909,5.09091,3.43636,0.56364,0.25455,0.78182,0.50909,1.98182,4.09091,0.72727,1.87273,0.4,0.49091,0.89091,2.54545,9.2,0
23,Paolo Banchero,SF-PF,20,ORL,72,72,33.8,6.7,15.6,0.427,1.2,4,0.298,5.5,11.6,0.471,5.5,7.4,0.738,1.2,5.7,6.9,3.7,0.8,0.5,2.8,20,2430,479,1122,85,285,394,837,394,534,84,413,497,269,60,39,200,1437,1631094,74,34.2973,22.63514,7.27027,4.18919,0.77027,0.74324,3.35135,7.63514,17.16216,1.67568,4.98649,5.68919,7.60811,2.17568,5.09459,14.1,0
