Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,PlayerPictureId,PG,PM,PPTS,PTRB,PAST,PSTL,PBLK,PTO,PFGM,PFGA,P3PM,P3PA,PFTA,PFTM,POREB,PDREB,PDD,PTD
50,Brandon Boston Jr.,SG,21,LAC,22,1,11.3,2.3,5.5,0.418,0.5,1.3,0.414,1.8,4.2,0.419,1.3,1.7,0.763,0.3,1,1.4,0.9,0.4,0,0.5,6.5,248,51,122,12,29,39,93,29,38,7,23,30,20,9,0,12,143,fallback,20,8.6,3.85,1.25,0.6,0.3,0.15,0.35,1.4,3.7,0.4,1.25,0.65,0.8,0.2,1.05,0,0
51,Chris Boucher,PF-C,30,TOR,76,0,20,3.4,7,0.493,0.8,2.5,0.328,2.6,4.5,0.585,1.7,2.2,0.762,2.1,3.5,5.5,0.4,0.6,0.8,0.5,9.4,1523,261,529,62,189,199,340,128,168,157,264,421,29,47,64,41,712,1628449,74,20.40541,9.48649,5.95946,0.2973,0.59459,1.10811,0.51351,3.36486,6.95946,0.91892,2.77027,1.83784,2.32432,2.16216,3.7973,8.9,0
52,James Bouknight,SG,22,CHA,34,0,15.1,2,5.7,0.358,1,3.2,0.303,1.1,2.5,0.429,0.6,0.9,0.667,0.2,1.9,2.1,1.2,0.4,0.1,0.9,5.6,515,69,193,33,109,36,84,20,30,8,64,72,41,14,5,32,191,fallback,35,12.2,5.71429,2.08571,1.05714,0.28571,0.02857,0.6,1.97143,5.65714,0.68571,1.97143,1.08571,1.25714,0.88571,1.2,0,0
53,Jamaree Bouyea,PG,23,WAS,5,0,14.2,1.2,2.8,0.429,0.4,1.2,0.333,0.8,1.6,0.5,0.2,0.4,0.5,0.2,1,1.2,0.8,0.8,0.4,0.8,3,71,6,14,2,6,4,8,1,2,1,5,6,4,4,2,4,15,fallback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Tony Bradley,C,25,CHI,12,0,2.8,0.5,1,0.5,0.3,0.4,0.6,0.3,0.6,0.429,0.3,0.3,1,0.1,0.8,0.9,0.1,0.1,0.1,0.1,1.6,33,6,12,3,5,3,7,4,4,1,10,11,1,1,1,1,19,1628396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Malaki Branham,SG,19,SAS,66,32,23.5,4.1,9.3,0.44,1.2,3.9,0.302,2.9,5.4,0.539,0.9,1.1,0.829,0.4,2.3,2.7,1.9,0.5,0.1,1.2,10.2,1550,269,611,77,255,192,356,58,70,28,153,181,127,33,7,76,673,1631103,70,18.9,6.25714,2.78571,1.22857,0.37143,0.21429,1.15714,2.42857,5.6,0.58571,1.68571,0.81429,1,0.84286,1.95714,0,0
56,Jarrell Brantley,PF,26,UTA,4,0,9.8,2,3.5,0.571,1,2.3,0.444,1,1.3,0.8,0.5,0.5,1,0.3,1.3,1.5,0.8,0,0.5,0.5,5.5,39,8,14,4,9,4,5,2,2,1,5,6,3,0,2,2,22,fallback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Christian Braun,SG,21,DEN,76,6,15.5,1.9,3.8,0.495,0.4,1.3,0.354,1.4,2.5,0.565,0.5,0.8,0.625,0.6,1.8,2.4,0.8,0.5,0.2,0.5,4.7,1181,143,289,34,96,109,193,40,64,48,133,181,59,41,17,35,360,fallback,77,25.1039,9.20779,3.8961,1.62338,1.12987,0.53247,1.54545,3.76623,7.71429,0.76623,2.14286,0.90909,1.37662,1.16883,2.72727,0,0
58,Mikal Bridges,SG-SF,26,BKN,83,83,35.7,7.1,15.3,0.468,2,5.3,0.382,5.1,9.9,0.514,3.8,4.3,0.895,1,3.4,4.4,3.3,1.1,0.7,1.5,20.1,2963,593,1267,169,442,424,825,316,353,79,285,364,273,91,61,127,1671,1628969,82,34.59756,25.29268,4.20732,2.91463,1.15854,0.68293,2.07317,8.56098,17.68293,2.4878,6.53659,5.68293,6.41463,0.90244,3.30488,1,0
59,Oshae Brissett,SF,24,BOS,65,2,16.7,1.9,4.9,0.386,0.7,2.4,0.31,1.2,2.5,0.457,1.6,2.2,0.717,1,2.4,3.4,0.7,0.5,0.2,0.5,6.1,1083,123,319,48,155,75,164,104,145,62,156,218,44,33,13,34,398,fallback,51,9.09804,3.7451,2.07843,0.41176,0.2549,0.31373,0.31373,1.27451,2.94118,0.4902,1.37255,0.70588,0.96078,0.62745,1.45098,2.7,0
60,Malcolm Brogdon,PG-SG,30,POR,67,0,26,5.3,10.9,0.484,2,4.4,0.444,3.3,6.5,0.51,2.4,2.7,0.87,0.6,3.6,4.2,3.7,0.7,0.3,1.5,14.9,1744,354,732,132,297,222,435,160,184,42,238,280,248,45,18,98,1000,1627763,63,28.79365,15.36508,4.4127,5.06349,0.85714,0.33333,1.84127,5.60317,12.39683,1.5873,4.44444,2.57143,2.98413,0.79365,3.63492,3.6,0
61,Dillon Brooks,SG-SF,27,HOU,73,73,30.3,5.4,13.6,0.396,2,6,0.326,3.4,7.6,0.451,1.6,2.1,0.779,0.6,2.7,3.3,2.6,0.9,0.2,1.4,14.3,2214,392,991,143,439,249,552,120,154,45,199,244,189,65,16,104,1047,1628415,68,27,14.70588,3.11765,2.69118,1.10294,0.25,1.52941,5.60294,12.89706,1.23529,3.58824,2.26471,2.72059,0.88235,2.22059,0,0
62,Bruce Brown,SG-SF,26,IND,80,31,28.5,4.5,9.3,0.483,1.1,3.2,0.358,3.3,6.1,0.548,1.5,1.9,0.758,0.8,3.3,4.1,3.4,1.1,0.6,1.5,11.5,2280,358,741,91,254,267,487,116,153,63,265,328,268,87,51,123,923,1628971,78,29.29487,12.91026,5.03846,3.07692,1.15385,0.70513,1.21795,4.97436,10.32051,1.29487,3.51282,1.66667,2.17949,1.32051,3.71795,1.9,0
63,Greg Brown III,PF,21,DAL,16,0,5.8,0.7,1.8,0.393,0.1,0.4,0.143,0.6,1.3,0.476,0.3,0.8,0.417,0.1,1.1,1.2,0.2,0.3,0.3,0.4,1.8,93,11,28,1,7,10,21,5,12,2,17,19,3,4,5,6,28,fallback,15,6,2.06667,1.26667,0.33333,0.26667,0.2,0.33333,0.73333,1.8,0.2,0.6,0.4,0.6,0.33333,0.93333,0,0
64,Jaylen Brown,SG-SF,26,BOS,67,67,35.9,10.1,20.6,0.491,2.4,7.3,0.335,7.7,13.4,0.576,3.9,5.1,0.765,1.2,5.7,6.9,3.5,1.1,0.4,2.9,26.6,2405,679,1383,163,487,516,896,263,344,78,381,459,232,75,26,197,1784,1627759,74,34.2027,24.24324,6.22973,3.55405,1.08108,0.28378,2.74324,8.93243,18.74324,2.62162,7.14865,3.75676,4.90541,0.81081,5.40541,12.6,0
65,Kendall Brown,SG,19,IND,6,0,6.7,0.7,1.2,0.571,0,0.2,0,0.7,1,0.667,0.2,0.3,0.5,0.3,0.7,1,0.5,0.7,0,0.3,1.5,40,4,7,0,1,4,6,1,2,2,4,6,3,4,0,2,9,fallback,21,4.90476,2.47619,1.71429,0.33333,0.09524,0.19048,0.28571,0.95238,1.71429,0.14286,0.42857,0.42857,0.61905,0.52381,1.19048,0,0
66,Moses Brown,C,23,POR,36,1,8.2,1.7,2.7,0.635,0,0,0,1.7,2.7,0.635,0.9,2,0.458,1.6,2.3,3.9,0.1,0.1,0.4,0.4,4.3,294,61,96,0,0,61,96,33,72,57,82,139,4,4,14,15,155,fallback,40,8.625,4.275,3.375,0.025,0.175,0.4,0.5,1.6,2.7,0,0,1.075,1.8,0.975,2.4,0,0
67,Sterling Brown,SG,27,LAL,4,0,6,0,1,0,0,0.5,0,0,0.5,0,0,0,0,0.8,1.3,2,0.5,0.8,0,0,0,24,0,4,0,2,0,2,0,0,3,5,8,2,3,0,0,0,1628425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Troy Brown Jr.,SF,23,MIN,76,45,24.5,2.6,6.1,0.43,1.4,3.7,0.381,1.2,2.4,0.505,0.4,0.5,0.872,0.8,3.2,4.1,1.3,0.8,0.2,0.6,7.1,1860,200,465,107,281,93,184,34,39,62,246,308,95,59,16,49,541,1628972,66,15.98485,4.28788,3.07576,1,0.54545,0.07576,0.39394,1.63636,3.90909,0.71212,2.01515,0.30303,0.39394,0.59091,2.48485,1.3,0
69,Jalen Brunson,PG-SG,26,NYK,68,68,35,8.6,17.6,0.491,2,4.7,0.416,6.7,12.8,0.519,4.8,5.8,0.829,0.6,3,3.5,6.2,0.9,0.2,2.1,24,2379,587,1195,134,322,453,873,325,392,40,201,241,421,61,15,142,1633,1628973,74,34.7973,23.55405,3.56757,6.18919,0.90541,0.04054,1.71622,8.39189,17.21622,1.90541,4.7973,4.86486,5.85135,0.5,3.06757,5.9,0
70,Thomas Bryant,C,25,MIA,59,26,18.3,3.9,6.3,0.623,0.4,1,0.441,3.5,5.3,0.658,1.6,2.1,0.738,1.5,4.3,5.7,0.5,0.3,0.5,0.6,9.8,1081,230,369,26,59,204,310,93,126,86,253,339,31,16,30,38,579,fallback,62,14.80645,6.32258,4.09677,0.77419,0.20968,0.64516,0.64516,2.37097,4.3871,0.46774,1.41935,1.1129,1.35484,0.98387,3.1129,6.4,0
71,Reggie Bullock,SG-SF,31,HOU,78,55,30.3,2.5,6,0.409,1.9,5.1,0.38,0.5,0.9,0.562,0.3,0.5,0.703,0.4,3.2,3.6,1.4,0.7,0.2,0.5,7.2,2364,192,470,151,397,41,73,26,37,32,251,283,108,54,13,36,561,203493,65,20,6.26154,2.53846,0.87692,0.43077,0.15385,0.41538,2.15385,5.26154,1.52308,4.12308,0.43077,0.50769,0.35385,2.18462,0.4,0
72,Alec Burks,SG,31,DET,51,8,22,3.9,9,0.436,1.9,4.7,0.414,2,4.3,0.459,3,3.7,0.814,0.4,2.7,3.1,2.2,0.7,0.2,1.1,12.8,1122,200,459,99,239,101,220,153,188,19,139,158,114,38,8,58,652,202692,57,17,6.89474,2.91228,1.75439,0.63158,0.19298,0.66667,2.08772,5.33333,1.10526,2.85965,1.61404,1.92982,0.35088,2.5614,1,0
73,Deonte Burton,SG,29,SAC,2,0,3,0,1,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,fallback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Jared Butler,SG,22,WAS,6,1,12.8,2.5,5.3,0.469,1.2,2.3,0.5,1.3,3,0.444,0,0,0,0.2,0.5,0.7,1.3,0.8,0,0.8,6.2,77,15,32,7,14,8,18,0,0,1,3,4,8,5,0,5,37,fallback,33,8.57576,3.84848,1.06061,1.51515,0.39394,0.18182,0.78788,1.45455,3.60606,0.66667,2.09091,0.27273,0.39394,0.12121,0.93939,0,0
75,Jimmy Butler,SF-PF,33,MIA,64,64,33.4,7.5,13.9,0.539,0.6,1.6,0.35,6.9,12.3,0.564,7.4,8.7,0.85,2.2,3.7,5.9,5.3,1.8,0.3,1.6,22.9,2138,479,888,36,103,443,785,472,555,141,234,375,340,117,21,101,1466,202710,65,33.47692,22.70769,5.83077,5.41538,1.63077,0.46154,2.09231,7.36923,14.2,0.64615,1.84615,7.32308,8.53846,1.76923,4.06154,12.5,0
76,John Butler,C,20,POR,19,1,11.6,0.9,2.8,0.321,0.4,1.8,0.229,0.5,0.9,0.5,0.2,0.2,0.75,0.2,0.7,0.9,0.6,0.4,0.5,0.1,2.4,221,17,53,8,35,9,18,3,4,3,14,17,11,7,9,1,45,fallback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Jamal Cain,SF,23,MIA,18,0,13.3,2.1,3.7,0.561,0.4,1.1,0.35,1.7,2.6,0.652,0.9,1.2,0.773,0.8,2.1,2.9,0.7,0.6,0.1,0.3,5.4,240,37,66,7,20,30,46,17,22,15,37,52,12,11,1,6,98,fallback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Kentavious Caldwell-Pope,SG-SF,29,DEN,76,76,31.3,3.8,8.3,0.462,1.8,4.2,0.423,2.1,4.1,0.502,1.4,1.6,0.824,0.5,2.3,2.7,2.4,1.5,0.5,1.1,10.8,2381,292,632,135,319,157,313,103,125,35,173,208,183,112,35,86,822,203484,78,31.89744,12.23077,3,2.30769,1.28205,0.35897,1.33333,4.12821,9.75641,2.17949,5.58974,1.79487,2.11538,0.5,2.5,1,0
79,Facundo Campazzo,PG,31,DAL,8,0,6.5,0.4,1.6,0.231,0.4,1.4,0.273,0,0.3,0,0.1,0.3,0.5,0,0.3,0.3,1.1,0.8,0,0.4,1.3,52,3,13,3,11,0,2,1,2,0,2,2,9,6,0,3,10,fallback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Vlatko Cancar,PF,25,DEN,60,9,14.8,1.8,3.8,0.476,0.7,1.9,0.374,1.1,1.9,0.58,0.6,0.7,0.927,0.4,1.7,2.1,1.3,0.4,0.2,0.6,5,889,108,227,43,115,65,112,38,41,24,104,128,80,22,14,37,297,fallback,15,11.73333,4.13333,2.06667,1.13333,0.13333,0.2,0.6,1.53333,2.73333,0.46667,0.8,0.6,0.93333,0.53333,1.53333,0,0
81,Clint Capela,C,28,ATL,65,63,26.6,5.4,8.2,0.653,0,0,0,5.4,8.2,0.654,1.2,2,0.603,4,7.1,11,0.9,0.7,1.2,0.8,12,1730,350,536,0,1,350,535,79,131,258,459,717,58,45,79,54,779,203991,68,27.60294,11.70588,11.08824,1.25,0.75,1.33824,0.58824,5.22059,8.14706,0,0,1.26471,2.27941,3.52941,7.55882,34.6,0
82,Vernon Carey Jr.,C,21,WAS,11,0,2.5,0.2,0.7,0.25,0,0,0,0.2,0.7,0.25,0.2,0.2,1,0.3,0.7,1,0.3,0.2,0.2,0.2,0.5,28,2,8,0,0,2,8,2,2,3,8,11,3,2,2,2,6,fallback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Jevon Carter,PG,27,CHI,81,39,22.3,3,7,0.423,1.8,4.2,0.421,1.2,2.8,0.425,0.4,0.5,0.816,0.4,2.1,2.5,2.4,0.8,0.4,1,8,1810,239,565,142,337,97,228,31,38,35,167,202,197,66,29,78,651,1628975,78,22.60256,7.39744,2.74359,2.39744,0.60256,0.34615,0.84615,2.65385,6.32051,1.71795,4.24359,0.37179,0.44872,0.34615,2.39744,0.5,0
84,Wendell Carter Jr.,C,23,ORL,57,54,29.6,5.6,10.8,0.525,1.4,3.9,0.356,4.2,6.8,0.624,2.5,3.4,0.738,2.1,6.6,8.7,2.3,0.5,0.6,1.9,15.2,1690,322,613,80,225,242,388,144,195,120,377,497,132,30,33,106,868,fallback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Michael Carter-Williams,PG,31,ORL,4,0,11,1.5,3.5,0.429,0.3,0.8,0.333,1.3,2.8,0.455,1,1.8,0.571,0.3,1,1.3,1.8,0.3,0.3,1,4.3,44,6,14,1,3,5,11,4,7,1,4,5,7,1,1,4,17,203487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Alex Caruso,PG-SG,28,CHI,67,36,23.5,1.9,4.3,0.455,0.8,2.3,0.364,1.1,2,0.556,0.9,1.1,0.808,0.6,2.3,2.9,2.9,1.5,0.7,1.1,5.6,1575,130,286,55,151,75,135,59,73,42,154,196,193,98,46,77,374,1627936,69,26.10145,7.04348,3.36232,3.75362,1.6087,0.34783,1.28986,2.37681,5.82609,1,2.86957,1.28986,1.66667,0.75362,2.62319,1.2,0
87,Julian Champagnie,SF,21,SAS,17,3,18.8,3.5,7.6,0.454,1.9,4.8,0.402,1.5,2.8,0.542,0.8,1,0.824,0.6,2.9,3.5,0.6,0.4,0.3,0.6,9.7,320,59,130,33,82,26,48,14,17,10,50,60,10,6,5,11,165,fallback,36,7.80556,2.25,2,0.30556,0.22222,0.11111,0.22222,0.86111,1.86111,0.27778,0.77778,0.25,0.25,1.02778,0.97222,0,0
88,Justin Champagnie,SF,21,MAI,5,0,6.8,1,3,0.333,0.2,1,0.2,0.8,2,0.4,0,0,0,0.6,1,1.6,0.8,0.2,0,0,2.2,34,5,15,1,5,4,10,0,0,3,5,8,4,1,0,0,11,fallback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Kennedy Chandler,PG,20,MEM,36,0,7.8,1,2.3,0.422,0.1,0.4,0.133,0.9,1.9,0.485,0.2,0.4,0.462,0.3,0.8,1.1,1.6,0.3,0.1,0.5,2.2,281,35,83,2,15,33,68,6,13,9,29,38,58,12,5,18,78,fallback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Max Christie,SG,19,LAL,41,3,12.5,1.1,2.6,0.415,0.6,1.5,0.419,0.4,1.1,0.409,0.3,0.4,0.875,0.2,1.7,1.8,0.5,0.2,0.2,0.3,3.1,512,44,106,26,62,18,44,14,16,7,68,75,21,9,7,13,128,fallback,61,13.5082,5.37705,3.78689,0.86885,0.2623,0.55738,0.83607,1.68852,3.72131,0.72131,1.78689,1.27869,1.65574,1.13115,2.63934,0,0
91,Josh Christopher,SG,21,HOU,64,2,12.3,2.4,5.1,0.465,0.3,1.4,0.236,2.1,3.8,0.55,0.7,0.9,0.75,0.3,0.8,1.1,1.1,0.5,0.2,0.9,5.8,786,153,329,21,89,132,240,45,60,20,51,71,73,33,15,60,372,fallback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Brandon Clarke,PF-C,26,MEM,56,8,19.5,4.1,6.2,0.656,0,0.1,0.167,4.1,6.1,0.665,1.8,2.4,0.723,1.6,3.9,5.5,1.3,0.6,0.7,1,10,1090,229,349,1,6,228,343,99,137,92,218,310,72,34,37,55,558,fallback,19,18.52632,10.31579,5.05263,1.26316,0.57895,1,0.52632,4.31579,6.63158,0.36842,0.31579,1.31579,1.94737,2,3.05263,0.7,0
93,Jordan Clarkson,SG,30,UTA,61,61,32.6,7.5,16.9,0.444,2.5,7.5,0.338,5,9.4,0.53,3.3,4,0.816,1.2,2.9,4,4.4,0.5,0.2,3,20.8,1988,458,1031,155,459,303,572,200,245,72,174,246,270,33,13,186,1271,203903,75,27.8,16.48,3.54667,2.52,0.85333,0.21333,1.68,5.93333,13.89333,2.41333,7.2,2.2,2.65333,0.86667,2.68,2,0
94,Nic Claxton,PF-C,23,BKN,76,76,29.9,5.4,7.7,0.705,0,0,0,5.4,7.7,0.708,1.8,3.2,0.541,2.4,6.8,9.2,1.9,0.9,2.5,1.3,12.6,2271,414,587,0,2,414,585,133,246,184,518,702,144,65,189,96,961,1629651,75,30.50667,13.21333,9.32,1.98667,0.92,2.37333,1.18667,5.8,8.26667,0,0,1.61333,2.90667,3.21333,6.10667,19.7,0
95,Amir Coffey,SG,25,LAC,50,9,12.5,1.1,2.9,0.386,0.2,0.8,0.275,0.9,2.1,0.429,1,1.3,0.778,0.3,0.7,1.1,1.1,0.1,0.1,0.4,3.4,625,56,145,11,40,45,105,49,63,17,36,53,53,7,5,21,172,fallback,48,11,4.375,1.375,0.875,0.27083,0.10417,0.3125,1.5,3.27083,0.6875,1.79167,0.6875,0.8125,0.1875,1.20833,0,0
96,John Collins,PF,25,UTA,71,71,30,5.1,10,0.508,1,3.4,0.292,4.1,6.6,0.619,2,2.5,0.803,1.1,5.4,6.5,1.2,0.6,1,1.1,13.1,2130,359,707,70,240,289,467,143,178,77,385,462,85,42,73,79,931,1628381,70,32.4,15.75714,7.18571,1.42857,0.64286,1.08571,1.17143,5.91429,11.51429,1.3,3.95714,2.62857,3.24286,1.58571,5.61429,15.3,0
97,Zach Collins,PF-C,25,SAS,63,26,22.9,4.5,8.7,0.518,0.9,2.3,0.374,3.6,6.4,0.571,1.7,2.3,0.761,1.8,4.5,6.4,2.9,0.6,0.8,2,11.6,1441,284,548,55,147,229,401,108,142,116,286,402,180,37,49,129,731,1628380,65,26.4,13.30769,7.07692,3,0.8,0.8,2.29231,5.23077,10.15385,1,2.76923,1.84615,2.46154,1.84615,5.23077,7.3,0
98,Chance Comanche,C,26,POR,1,0,21,3,5,0.6,0,0,0,3,5,0.6,1,4,0.25,2,1,3,0,0,1,0,7,21,3,5,0,0,3,5,1,4,2,1,3,0,0,1,0,7,fallback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Mike Conley,PG,35,MIN,67,66,30.3,3.9,9.1,0.428,2,5.2,0.385,1.9,3.9,0.486,2.1,2.5,0.834,0.5,2.2,2.7,6.7,1.1,0.2,1.5,11.9,2029,261,610,135,351,126,259,141,169,33,149,182,450,73,14,103,798,201144,67,30.80597,12.89552,3.25373,5.44776,1.13433,0.25373,1.83582,4.25373,9.8806,2.34328,5.79104,2.04478,2.41791,0.70149,2.53731,3.9,0
100,Pat Connaughton,SG-SF,30,MIL,61,33,23.7,2.7,6.9,0.392,1.8,5.3,0.339,0.9,1.6,0.566,0.4,0.7,0.659,0.8,3.8,4.6,1.3,0.6,0.2,0.5,7.6,1443,165,421,109,322,56,99,27,41,50,233,283,77,37,11,33,466,1626192,65,22,10.46154,4.41538,1.32308,0.95385,0.24615,0.56923,3.66154,8.01538,2.4,5.98462,0.73846,0.87692,0.73846,3.67692,1,0
101,Xavier Cooks,PF,27,WAS,10,1,12.6,1.7,2.8,0.607,0,0.1,0,1.7,2.7,0.63,0.4,1,0.4,1.6,2.2,3.8,0.6,0.6,0.4,0.8,3.8,126,17,28,0,1,17,27,4,10,16,22,38,6,6,4,8,38,fallback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Robert Covington,SF-PF,32,LAC,48,0,16.2,2.1,4.8,0.445,1.1,2.8,0.397,1,1.9,0.516,0.6,0.8,0.75,0.6,2.8,3.5,1.2,0.8,0.7,0.7,6,779,102,229,54,136,48,93,30,40,31,135,166,57,38,33,32,288,203496,50,15.5,4.92,3.12,0.74,0.8,0.72,0.6,1.72,3.98,1.02,2.7,0.46,0.56,0.48,2.66,0.3,0
103,Torrey Craig,SF-PF,32,CHI,79,60,24.7,2.9,6.3,0.456,1.3,3.2,0.395,1.6,3.1,0.518,0.4,0.6,0.711,1.8,3.6,5.4,1.5,0.6,0.8,0.9,7.4,1948,228,500,100,253,128,247,32,45,145,281,426,117,50,62,73,588,1628470,77,22,7.1039,4.27273,1.25974,0.63636,0.49351,0.92208,2.75325,6.07792,1.06494,3.22078,0.53247,0.71429,1.18182,3.09091,3.2,0
104,Jae Crowder,SF-PF,32,MIL,18,3,18.9,2.5,5.2,0.479,1.3,3.1,0.436,1.2,2.2,0.538,0.6,0.7,0.833,0.9,2.9,3.8,1.5,0.7,0.3,0.4,6.9,340,45,94,24,55,21,39,10,12,17,52,69,27,12,6,7,124,203109,61,17.60656,5.85246,3.31148,1.16393,0.88525,0.27869,0.5082,2.01639,5.08197,1.14754,3.40984,0.67213,0.83607,0.27869,3.01639,0.8,0
105,Jarrett Culver,SG,23,ATL,10,1,13.7,1.7,4.3,0.395,0.1,1.2,0.083,1.6,3.1,0.516,0.9,1.3,0.692,1,2.8,3.8,0.6,0.6,0.2,0.7,4.4,137,17,43,1,12,16,31,9,13,10,28,38,6,6,2,7,44,fallback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Cade Cunningham,PG-SG,21,DET,12,12,33.3,7.8,18.7,0.415,1.4,5.1,0.279,6.3,13.6,0.466,3,3.6,0.837,1,5.2,6.2,6,0.8,0.6,3.3,19.9,400,93,224,17,61,76,163,36,43,12,62,74,72,10,7,39,239,1630595,67,33.70149,20.8209,6.04478,6.41791,1.25373,0.68657,3.77612,7.32836,16.64179,2.07463,5.86567,4.08955,4.73134,0.98507,5.0597,8,0
107,Seth Curry,PG-SG,32,DAL,61,7,19.9,3.4,7.4,0.463,1.5,3.8,0.405,1.9,3.6,0.525,0.8,0.9,0.927,0.2,1.4,1.6,1.6,0.6,0.1,0.8,9.2,1211,208,449,94,232,114,217,51,55,13,87,100,99,36,7,51,561,203552,63,28.50794,12.87302,2.66667,3.06349,0.71429,0.19048,1.46032,4.69841,9.96825,2.36508,5.66667,1.11111,1.25397,0.28571,2.39683,0.5,0
108,Stephen Curry,PG,34,GSW,56,56,34.7,10,20.2,0.493,4.9,11.4,0.427,5.1,8.8,0.579,4.6,5,0.915,0.7,5.4,6.1,6.3,0.9,0.4,3.2,29.4,1941,559,1133,273,639,286,494,257,281,39,302,341,352,52,20,179,1648,201939,66,34.60606,28.18182,5.81818,5.89394,1.13636,0.36364,3.22727,9.54545,19.9697,4.81818,11.51515,4.27273,4.66667,0.59091,5.22727,13.1,0
109,Dyson Daniels,PG-SG,19,NOP,59,11,17.7,1.5,3.5,0.418,0.5,1.5,0.314,1,2.1,0.492,0.4,0.7,0.65,0.6,2.6,3.2,2.3,0.7,0.2,1,3.8,1042,87,208,27,86,60,122,26,40,36,152,188,134,43,11,57,227,1630700,71,18.80282,7.01408,3.53521,2.70423,0.95775,0.77465,1.15493,2.38028,5.26761,0.57746,1.73239,1.67606,2.30986,1.05634,2.47887,0,0
110,Anthony Davis,PF-C,29,LAL,56,54,34,9.7,17.2,0.563,0.3,1.3,0.257,9.3,15.9,0.589,6.2,7.9,0.784,3.5,9.1,12.5,2.6,1.1,2,2.2,25.9,1904,542,962,19,74,523,888,348,444,195,507,702,148,59,114,122,1451,203076,64,34,23.75,12.1875,2.5,1.1875,2,2.10938,9.375,17,0.3125,1.29688,4.6875,6.09375,3.29688,8.89063,37.3,0
111,Johnny Davis,SG,20,WAS,28,5,15.1,2.4,6.1,0.386,0.6,2.5,0.243,1.8,3.6,0.485,0.5,1,0.519,0.4,2,2.3,1,0.4,0.3,0.6,5.8,423,66,171,17,70,49,101,14,27,10,55,65,28,10,8,17,163,76526,69,22.50725,9.73913,4.2029,1.6087,0.91304,0.47826,1.3913,3.78261,8.75362,0.84058,2.73913,1.33333,1.94203,1.26087,2.94203,0,0
112,Terence Davis,SG,25,SAC,64,5,13.1,2.4,5.7,0.423,1.4,3.8,0.366,1,1.9,0.537,0.5,0.7,0.791,0.3,1.9,2.2,1,0.7,0.2,0.8,6.7,841,154,364,89,243,65,121,34,43,20,119,139,67,43,12,53,431,fallback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,JD Davison,PG,20,BOS,12,0,5.5,0.7,1.6,0.421,0.2,0.6,0.286,0.5,1,0.5,0.1,0.2,0.5,0.2,0.6,0.8,0.9,0.2,0.2,0.3,1.6,66,8,19,2,7,6,12,1,2,2,7,9,11,2,2,4,19,fallback,21,3.28571,1.71429,1.14286,0.19048,0.04762,0.14286,0.19048,0.66667,1.14286,0.09524,0.28571,0.28571,0.38095,0.33333,0.80952,0,0
114,Darius Days,PF,23,HOU,4,0,6.3,1.3,3,0.417,0.8,2.5,0.3,0.5,0.5,1,0.5,0.5,1,0.3,1.3,1.5,0.3,0,0.3,0,3.8,25,5,12,3,10,2,2,2,2,1,5,6,1,0,1,0,15,fallback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Dewayne Dedmon,C,33,N/A,38,1,11.2,2,4,0.51,0.3,1,0.308,1.7,2.9,0.58,0.9,1.3,0.673,0.9,2.6,3.5,0.7,0.2,0.5,0.7,5.2,426,77,151,12,39,65,112,33,49,34,100,134,26,9,19,25,199,203473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
