Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlayerPictureId
87,Julian Champagnie,SF,21,TOT,17,3,18.8,3.5,7.6,0.454,1.9,4.8,0.402,1.5,2.8,0.542,0.581,0.8,1,0.824,0.6,2.9,3.5,0.6,0.4,0.3,0.6,1.5,9.7,320,59,130,33,82,26,48,14,17,10,50,60,10,6,5,11,26,165,fallback
88,Justin Champagnie,SF,21,TOT,5,0,6.8,1,3,0.333,0.2,1,0.2,0.8,2,0.4,0.367,0,0,0,0.6,1,1.6,0.8,0.2,0,0,0.4,2.2,34,5,15,1,5,4,10,0,0,3,5,8,4,1,0,0,2,11,fallback
89,Kennedy Chandler,PG,20,MEM,36,0,7.8,1,2.3,0.422,0.1,0.4,0.133,0.9,1.9,0.485,0.434,0.2,0.4,0.462,0.3,0.8,1.1,1.6,0.3,0.1,0.5,0.4,2.2,281,35,83,2,15,33,68,6,13,9,29,38,58,12,5,18,15,78,fallback
90,Max Christie,SG,19,LAL,41,3,12.5,1.1,2.6,0.415,0.6,1.5,0.419,0.4,1.1,0.409,0.538,0.3,0.4,0.875,0.2,1.7,1.8,0.5,0.2,0.2,0.3,0.8,3.1,512,44,106,26,62,18,44,14,16,7,68,75,21,9,7,13,33,128,fallback
91,Josh Christopher,SG,21,HOU,64,2,12.3,2.4,5.1,0.465,0.3,1.4,0.236,2.1,3.8,0.55,0.497,0.7,0.9,0.75,0.3,0.8,1.1,1.1,0.5,0.2,0.9,0.9,5.8,786,153,329,21,89,132,240,45,60,20,51,71,73,33,15,60,59,372,fallback
92,Brandon Clarke,PF,26,MEM,56,8,19.5,4.1,6.2,0.656,0,0.1,0.167,4.1,6.1,0.665,0.658,1.8,2.4,0.723,1.6,3.9,5.5,1.3,0.6,0.7,1,2.3,10,1090,229,349,1,6,228,343,99,137,92,218,310,72,34,37,55,131,558,fallback
93,Jordan Clarkson,SG,30,UTA,61,61,32.6,7.5,16.9,0.444,2.5,7.5,0.338,5,9.4,0.53,0.519,3.3,4,0.816,1.2,2.9,4,4.4,0.5,0.2,3,2,20.8,1988,458,1031,155,459,303,572,200,245,72,174,246,270,33,13,186,120,1271,fallback
94,Nic Claxton,C,23,BRK,76,76,29.9,5.4,7.7,0.705,0,0,0,5.4,7.7,0.708,0.705,1.8,3.2,0.541,2.4,6.8,9.2,1.9,0.9,2.5,1.3,2.8,12.6,2271,414,587,0,2,414,585,133,246,184,518,702,144,65,189,96,212,961,fallback
95,Amir Coffey,SG,25,LAC,50,9,12.5,1.1,2.9,0.386,0.2,0.8,0.275,0.9,2.1,0.429,0.424,1,1.3,0.778,0.3,0.7,1.1,1.1,0.1,0.1,0.4,1,3.4,625,56,145,11,40,45,105,49,63,17,36,53,53,7,5,21,50,172,fallback
96,John Collins,PF,25,ATL,71,71,30,5.1,10,0.508,1,3.4,0.292,4.1,6.6,0.619,0.557,2,2.5,0.803,1.1,5.4,6.5,1.2,0.6,1,1.1,3.1,13.1,2130,359,707,70,240,289,467,143,178,77,385,462,85,42,73,79,220,931,fallback
97,Zach Collins,C,25,SAS,63,26,22.9,4.5,8.7,0.518,0.9,2.3,0.374,3.6,6.4,0.571,0.568,1.7,2.3,0.761,1.8,4.5,6.4,2.9,0.6,0.8,2,3.2,11.6,1441,284,548,55,147,229,401,108,142,116,286,402,180,37,49,129,199,731,fallback
98,Chance Comanche,C,26,POR,1,0,21,3,5,0.6,0,0,0,3,5,0.6,0.6,1,4,0.25,2,1,3,0,0,1,0,0,7,21,3,5,0,0,3,5,1,4,2,1,3,0,0,1,0,0,7,fallback
99,Mike Conley,PG,35,TOT,67,66,30.3,3.9,9.1,0.428,2,5.2,0.385,1.9,3.9,0.486,0.539,2.1,2.5,0.834,0.5,2.2,2.7,6.7,1.1,0.2,1.5,2.1,11.9,2029,261,610,135,351,126,259,141,169,33,149,182,450,73,14,103,139,798,fallback
100,Pat Connaughton,SG,30,MIL,61,33,23.7,2.7,6.9,0.392,1.8,5.3,0.339,0.9,1.6,0.566,0.521,0.4,0.7,0.659,0.8,3.8,4.6,1.3,0.6,0.2,0.5,1.1,7.6,1443,165,421,109,322,56,99,27,41,50,233,283,77,37,11,33,69,466,fallback
101,Xavier Cooks,PF,27,WAS,10,1,12.6,1.7,2.8,0.607,0,0.1,0,1.7,2.7,0.63,0.607,0.4,1,0.4,1.6,2.2,3.8,0.6,0.6,0.4,0.8,1.3,3.8,126,17,28,0,1,17,27,4,10,16,22,38,6,6,4,8,13,38,fallback
102,Robert Covington,PF,32,LAC,48,0,16.2,2.1,4.8,0.445,1.1,2.8,0.397,1,1.9,0.516,0.563,0.6,0.8,0.75,0.6,2.8,3.5,1.2,0.8,0.7,0.7,1.8,6,779,102,229,54,136,48,93,30,40,31,135,166,57,38,33,32,86,288,fallback
103,Torrey Craig,SF,32,PHO,79,60,24.7,2.9,6.3,0.456,1.3,3.2,0.395,1.6,3.1,0.518,0.556,0.4,0.6,0.711,1.8,3.6,5.4,1.5,0.6,0.8,0.9,2.3,7.4,1948,228,500,100,253,128,247,32,45,145,281,426,117,50,62,73,179,588,fallback
104,Jae Crowder,SF,32,MIL,18,3,18.9,2.5,5.2,0.479,1.3,3.1,0.436,1.2,2.2,0.538,0.606,0.6,0.7,0.833,0.9,2.9,3.8,1.5,0.7,0.3,0.4,1.5,6.9,340,45,94,24,55,21,39,10,12,17,52,69,27,12,6,7,27,124,fallback
105,Jarrett Culver,SG,23,ATL,10,1,13.7,1.7,4.3,0.395,0.1,1.2,0.083,1.6,3.1,0.516,0.407,0.9,1.3,0.692,1,2.8,3.8,0.6,0.6,0.2,0.7,1.4,4.4,137,17,43,1,12,16,31,9,13,10,28,38,6,6,2,7,14,44,fallback
106,Cade Cunningham,PG,21,DET,12,12,33.3,7.8,18.7,0.415,1.4,5.1,0.279,6.3,13.6,0.466,0.453,3,3.6,0.837,1,5.2,6.2,6,0.8,0.6,3.3,2.8,19.9,400,93,224,17,61,76,163,36,43,12,62,74,72,10,7,39,34,239,fallback
107,Seth Curry,SG,32,BRK,61,7,19.9,3.4,7.4,0.463,1.5,3.8,0.405,1.9,3.6,0.525,0.568,0.8,0.9,0.927,0.2,1.4,1.6,1.6,0.6,0.1,0.8,1.6,9.2,1211,208,449,94,232,114,217,51,55,13,87,100,99,36,7,51,96,561,fallback
108,Stephen Curry,PG,34,GSW,56,56,34.7,10,20.2,0.493,4.9,11.4,0.427,5.1,8.8,0.579,0.614,4.6,5,0.915,0.7,5.4,6.1,6.3,0.9,0.4,3.2,2.1,29.4,1941,559,1133,273,639,286,494,257,281,39,302,341,352,52,20,179,117,1648,fallback
109,Dyson Daniels,PG,19,NOP,59,11,17.7,1.5,3.5,0.418,0.5,1.5,0.314,1,2.1,0.492,0.483,0.4,0.7,0.65,0.6,2.6,3.2,2.3,0.7,0.2,1,1.7,3.8,1042,87,208,27,86,60,122,26,40,36,152,188,134,43,11,57,99,227,fallback
110,Anthony Davis,C,29,LAL,56,54,34,9.7,17.2,0.563,0.3,1.3,0.257,9.3,15.9,0.589,0.573,6.2,7.9,0.784,3.5,9.1,12.5,2.6,1.1,2,2.2,2.6,25.9,1904,542,962,19,74,523,888,348,444,195,507,702,148,59,114,122,146,1451,fallback
111,Johnny Davis,SG,20,WAS,28,5,15.1,2.4,6.1,0.386,0.6,2.5,0.243,1.8,3.6,0.485,0.436,0.5,1,0.519,0.4,2,2.3,1,0.4,0.3,0.6,1.7,5.8,423,66,171,17,70,49,101,14,27,10,55,65,28,10,8,17,48,163,fallback
112,Terence Davis,SG,25,SAC,64,5,13.1,2.4,5.7,0.423,1.4,3.8,0.366,1,1.9,0.537,0.545,0.5,0.7,0.791,0.3,1.9,2.2,1,0.7,0.2,0.8,1.6,6.7,841,154,364,89,243,65,121,34,43,20,119,139,67,43,12,53,104,431,fallback
113,JD Davison,PG,20,BOS,12,0,5.5,0.7,1.6,0.421,0.2,0.6,0.286,0.5,1,0.5,0.474,0.1,0.2,0.5,0.2,0.6,0.8,0.9,0.2,0.2,0.3,0.4,1.6,66,8,19,2,7,6,12,1,2,2,7,9,11,2,2,4,5,19,fallback
114,Darius Days,PF,23,HOU,4,0,6.3,1.3,3,0.417,0.8,2.5,0.3,0.5,0.5,1,0.542,0.5,0.5,1,0.3,1.3,1.5,0.3,0,0.3,0,0.5,3.8,25,5,12,3,10,2,2,2,2,1,5,6,1,0,1,0,2,15,fallback
115,Dewayne Dedmon,C,33,TOT,38,1,11.2,2,4,0.51,0.3,1,0.308,1.7,2.9,0.58,0.55,0.9,1.3,0.673,0.9,2.6,3.5,0.7,0.2,0.5,0.7,2,5.2,426,77,151,12,39,65,112,33,49,34,100,134,26,9,19,25,75,199,fallback
116,Matthew Dellavedova,PG,32,SAC,32,0,6.7,0.5,1.6,0.34,0.3,0.8,0.333,0.3,0.7,0.348,0.43,0.1,0.2,0.571,0,0.4,0.4,1.3,0.2,0,0.3,0.6,1.5,213,17,50,9,27,8,23,4,7,1,12,13,41,7,0,10,20,47,fallback
117,DeMar DeRozan,SF,33,CHI,74,74,36.2,8.9,17.6,0.504,0.6,1.9,0.324,8.3,15.7,0.526,0.522,6.2,7.1,0.872,0.5,4.2,4.6,5.1,1.1,0.5,2.1,2.5,24.5,2682,657,1303,46,142,611,1161,456,523,34,309,343,377,83,36,153,186,1816,fallback
118,Moussa Diabaté,PF,21,LAC,22,1,8.9,1.1,2.1,0.511,0,0.1,0.5,1,2,0.511,0.521,0.5,0.7,0.625,1.4,0.9,2.3,0.2,0.3,0.4,0.4,0.7,2.7,195,24,47,1,2,23,45,10,16,31,19,50,4,7,8,9,15,59,fallback
119,Mamadi Diakite,PF,26,CLE,22,2,8,1.1,2.3,0.48,0.3,1,0.333,0.8,1.3,0.586,0.55,0.1,0.1,1,0.4,1,1.4,0.4,0.2,0.4,0.5,1.2,2.6,176,24,50,7,21,17,29,2,2,8,22,30,8,4,9,12,26,57,fallback
120,Hamidou Diallo,SG,24,DET,56,0,17.8,3.8,6.7,0.573,0.1,0.4,0.238,3.8,6.3,0.593,0.58,1.6,2.6,0.588,1,2.4,3.5,1,0.9,0.3,1.3,2.2,9.3,996,215,375,5,21,210,354,87,148,57,137,194,55,53,16,71,124,522,fallback
121,Gorgui Dieng,C,33,SAS,31,1,11.5,1.5,3.8,0.385,0.7,2.4,0.28,0.8,1.4,0.571,0.474,0.3,0.4,0.769,0.9,2.6,3.5,1.7,0.1,0.5,1,1.8,3.9,358,45,117,21,75,24,42,10,13,27,80,107,53,4,14,32,57,121,fallback
122,Ousmane Dieng,SF,19,OKC,39,1,14.6,1.9,4.6,0.42,0.7,2.5,0.265,1.3,2.1,0.602,0.492,0.4,0.6,0.652,0.5,2.2,2.7,1.2,0.4,0.2,0.7,1.1,4.9,569,76,181,26,98,50,83,15,23,19,86,105,46,14,7,26,42,193,fallback
123,Spencer Dinwiddie,PG,29,TOT,79,79,34.5,5.8,13.3,0.438,2.3,6.2,0.369,3.5,7.1,0.498,0.524,3.4,4.2,0.812,0.4,3.1,3.4,6.5,0.8,0.3,1.8,2.4,17.3,2725,460,1050,181,490,279,560,268,330,28,242,270,515,67,24,145,187,1369,fallback
124,Donte DiVincenzo,SG,26,GSW,72,36,26.3,3.3,7.5,0.435,2.1,5.3,0.397,1.2,2.3,0.525,0.574,0.8,1,0.817,1.1,3.4,4.5,3.5,1.3,0.1,1.6,1.8,9.4,1894,235,540,150,378,85,162,58,71,80,245,325,252,97,10,112,133,678,fallback
125,Luka Doncic,PG,23,DAL,66,66,36.2,10.9,22,0.496,2.8,8.2,0.342,8.1,13.8,0.588,0.56,7.8,10.5,0.742,0.8,7.8,8.6,8,1.4,0.5,3.6,2.5,32.4,2391,719,1449,185,541,534,908,515,694,54,515,569,529,90,33,236,166,2138,fallback
126,Tyler Dorsey,SG,26,DAL,3,0,2.7,1.3,1.7,0.8,0.3,0.7,0.5,1,1,1,0.9,0,0,0,0.3,0.3,0.7,0,0,0,0,0,3,8,4,5,1,2,3,3,0,0,1,1,2,0,0,0,0,0,9,fallback
127,Luguentz Dort,SG,23,OKC,74,73,30.7,4.6,11.8,0.388,1.8,5.5,0.33,2.8,6.3,0.44,0.466,2.7,3.5,0.772,1.7,2.9,4.6,2.1,1,0.3,1.2,3.3,13.7,2272,339,873,135,409,204,464,200,259,128,216,344,154,75,23,92,243,1013,fallback
128,Ayo Dosunmu,SG,23,CHI,80,51,26.2,3.5,7.1,0.493,0.7,2.4,0.312,2.8,4.8,0.583,0.545,0.8,1,0.805,0.6,2.2,2.8,2.6,0.8,0.3,1.2,2.3,8.6,2098,281,570,59,189,222,381,66,82,45,175,220,206,62,26,99,182,687,fallback
129,Devon Dotson,PG,23,WAS,6,0,8.8,0.2,1.7,0.1,0.2,0.7,0.25,0,1,0,0.15,0,0,0,1,0.7,1.7,1.3,0.8,0,0.5,1.5,0.5,53,1,10,1,4,0,6,0,0,6,4,10,8,5,0,3,9,3,fallback
130,Jeff Dowtin,PG,25,TOR,25,0,10.4,1,2.3,0.439,0.2,0.6,0.313,0.8,1.6,0.488,0.482,0.2,0.4,0.667,0.2,0.7,0.9,1.2,0.4,0.1,0.2,0.5,2.4,259,25,57,5,16,20,41,6,9,6,17,23,31,9,3,5,13,61,fallback
131,PJ Dozier,SG,26,SAC,16,0,4.9,0.6,2.1,0.303,0.1,1,0.125,0.5,1.1,0.471,0.333,0,0,0,0.1,0.8,0.9,0.6,0.4,0.1,0.3,0.4,1.4,79,10,33,2,16,8,17,0,0,1,13,14,10,6,1,5,7,22,fallback
132,Goran Dragic,PG,36,TOT,58,0,15,2.4,5.8,0.421,0.9,2.5,0.359,1.5,3.3,0.468,0.499,0.5,0.8,0.689,0.3,1.1,1.4,2.6,0.2,0.1,1.1,1.1,6.3,870,141,335,52,145,89,190,31,45,16,65,81,151,13,4,63,65,365,fallback
133,Andre Drummond,C,29,CHI,67,0,12.7,2.5,4.1,0.606,0,0,0,2.5,4,0.613,0.606,1,1.9,0.536,2.1,4.6,6.6,0.5,0.7,0.4,1.1,1.7,6,849,166,274,0,3,166,271,67,125,138,306,444,33,45,27,75,117,399,fallback
134,Chris Duarte,SF,25,IND,46,12,19.5,2.7,7.2,0.369,1.2,3.8,0.316,1.5,3.5,0.428,0.452,1.3,1.6,0.847,0.4,2.1,2.5,1.4,0.5,0.2,0.9,1.4,7.9,897,123,333,55,174,68,159,61,72,19,96,115,64,25,9,41,65,362,fallback
135,David Duke Jr.,SG,23,BRK,23,0,9.9,1.6,3.4,0.462,0,0.5,0.083,1.5,2.9,0.53,0.468,0.5,0.7,0.706,0.5,0.8,1.3,0.9,0.4,0,0.8,1.3,3.7,228,36,78,1,12,35,66,12,17,11,18,29,21,10,1,18,31,85,fallback
136,Kris Dunn,PG,28,UTA,22,3,25.8,5.3,9.8,0.537,0.8,1.6,0.472,4.5,8.2,0.55,0.576,1.9,2.4,0.774,0.4,4.1,4.5,5.6,1.1,0.5,1.6,2.6,13.2,568,116,216,17,36,99,180,41,53,9,91,100,124,25,10,35,58,290,fallback
137,Kevin Durant,PF-SF,34,TOT,47,47,35.6,10.3,18.3,0.56,2,4.9,0.404,8.3,13.4,0.617,0.614,6.5,7.1,0.919,0.4,6.3,6.7,5,0.7,1.4,3.3,2.1,29.1,1672,483,862,93,230,390,632,307,334,17,296,313,235,34,67,156,99,1366,fallback
138,Jalen Duren,C,19,DET,67,31,24.9,3.9,5.9,0.648,0,0,0,3.9,5.9,0.652,0.648,1.4,2.3,0.611,3.4,5.5,8.9,1.1,0.7,0.9,1.4,2.7,9.1,1670,258,398,0,2,258,396,96,157,229,366,595,75,44,59,92,182,612,fallback
139,Tari Eason,PF,21,HOU,82,5,21.5,3.6,8,0.448,0.7,2.1,0.343,2.9,6,0.486,0.493,1.3,1.8,0.752,2.4,3.7,6,1.1,1.2,0.6,1.2,2.3,9.3,1767,296,660,59,172,237,488,109,145,195,301,496,88,96,47,101,189,760,fallback
140,Anthony Edwards,SG,21,MIN,79,79,36,8.9,19.5,0.459,2.7,7.3,0.369,6.3,12.2,0.513,0.528,4,5.3,0.756,0.6,5.2,5.8,4.4,1.6,0.7,3.3,2.4,24.6,2842,707,1541,213,578,494,963,319,422,47,411,458,350,125,58,259,186,1946,fallback
141,Kessler Edwards,SF,22,TOT,36,4,10.7,1,2.6,0.387,0.5,1.5,0.309,0.5,1.1,0.5,0.478,0.3,0.4,0.733,0.6,1.1,1.7,0.6,0.4,0.2,0.4,1.1,2.8,385,36,93,17,55,19,38,11,15,23,38,61,23,14,6,13,40,100,fallback
142,Keon Ellis,SG,23,SAC,16,0,4.4,0.4,1,0.438,0.4,0.8,0.5,0.1,0.3,0.25,0.625,0.3,0.4,0.571,0.3,0.3,0.5,0.4,0.3,0.1,0.1,0.6,1.5,71,7,16,6,12,1,4,4,7,4,4,8,6,5,1,1,10,24,fallback
143,Joel Embiid,C,28,PHI,66,66,34.6,11,20.1,0.548,1,3,0.33,10,17.1,0.587,0.573,10,11.7,0.857,1.7,8.4,10.2,4.2,1,1.7,3.4,3.1,33.1,2284,728,1328,66,200,662,1128,661,771,113,557,670,274,66,112,226,205,2183,fallback
144,Drew Eubanks,C,25,POR,78,28,20.3,2.7,4.3,0.641,0.1,0.2,0.389,2.7,4.1,0.655,0.651,1.1,1.6,0.664,1.7,3.7,5.4,1.3,0.5,1.3,0.9,2.2,6.6,1584,214,334,7,18,207,316,83,125,132,286,418,103,40,102,67,169,518,fallback
145,Bruno Fernando,C,24,TOT,39,4,10.4,1.5,2.9,0.527,0,0.1,0,1.5,2.8,0.546,0.527,0.9,1.3,0.7,1.4,2.1,3.5,0.8,0.2,0.9,0.6,1.9,3.9,405,59,112,0,4,59,108,35,50,54,83,137,31,6,34,25,74,153,fallback
146,Dorian Finney-Smith,PF,29,TOT,66,66,30.4,3,7.6,0.391,1.7,5.1,0.337,1.2,2.5,0.503,0.505,0.7,0.9,0.763,1.7,3.1,4.8,1.5,0.8,0.5,0.9,2.2,8.3,2009,196,501,114,338,82,163,45,59,114,202,316,100,55,36,62,144,551,fallback
147,Malachi Flynn,PG,24,TOR,53,2,13,1.6,4.6,0.36,0.9,2.5,0.353,0.8,2.1,0.367,0.457,0.5,0.6,0.758,0.3,1.2,1.4,1.3,0.4,0.1,0.5,1.2,4.6,691,87,242,47,133,40,109,25,33,15,61,76,70,21,4,25,65,246,fallback
148,Simone Fontecchio,SF,27,UTA,52,6,14.7,2.2,6,0.369,1.2,3.7,0.33,1,2.3,0.43,0.47,0.7,0.8,0.795,0.6,1.1,1.7,0.8,0.3,0.2,0.8,1.2,6.3,766,115,312,63,191,52,121,35,44,31,55,86,42,15,8,39,62,328,fallback
149,Bryn Forbes,SG,29,MIN,25,0,10.7,1.2,3.3,0.361,0.6,1.8,0.304,0.6,1.5,0.432,0.446,0.6,0.6,1,0.2,0.4,0.6,0.7,0.3,0.1,0.5,0.9,3.6,268,30,83,14,46,16,37,15,15,4,11,15,17,7,2,12,22,89,fallback
150,Trent Forrest,PG,24,ATL,23,3,12,1.1,2.6,0.417,0,0.1,0,1.1,2.5,0.431,0.417,0.1,0.1,0.667,0.2,1.4,1.6,1.7,0.3,0.1,0.7,0.7,2.3,277,25,60,0,2,25,58,2,3,5,32,37,38,7,2,15,17,52,fallback
151,Michael Foster Jr.,PF,20,PHI,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fallback
152,Evan Fournier,SG,30,NYK,27,7,17,2.1,6.1,0.337,1.3,4.2,0.307,0.8,1.9,0.404,0.443,0.7,0.8,0.857,0.1,1.7,1.8,1.3,0.6,0.1,0.8,1.7,6.1,459,56,166,35,114,21,52,18,21,4,45,49,36,16,3,22,46,165,fallback
153,De'Aaron Fox,PG,25,SAC,73,73,33.4,9.3,18.2,0.512,1.6,5,0.324,7.7,13.2,0.584,0.557,4.7,6,0.78,0.5,3.6,4.2,6.1,1.1,0.3,2.5,2.4,25,2435,682,1331,119,367,563,964,343,440,40,266,306,447,83,23,181,172,1826,fallback
154,Markelle Fultz,PG,24,ORL,60,60,29.6,5.8,11.3,0.514,0.5,1.5,0.31,5.4,9.9,0.544,0.534,1.9,2.4,0.783,1.2,2.8,3.9,5.7,1.5,0.4,2.3,2.2,14,1778,349,679,27,87,322,592,112,143,69,165,234,341,87,26,139,131,837,fallback
155,Wenyen Gabriel,PF,25,LAL,68,2,15.1,2.3,3.8,0.596,0.1,0.5,0.278,2.1,3.3,0.647,0.615,0.8,1.2,0.619,1.7,2.5,4.2,0.5,0.4,0.5,0.7,2.1,5.5,1024,155,260,10,36,145,224,52,84,116,170,286,36,26,35,46,144,372,fallback
156,Daniel Gafford,C,24,WAS,78,47,20.6,3.7,5.1,0.732,0,0,0,3.7,5.1,0.732,0.732,1.6,2.4,0.679,2.1,3.5,5.6,1.1,0.4,1.3,1.1,2.4,9,1604,289,395,0,0,289,395,127,187,163,270,433,84,33,99,85,187,705,fallback
157,Darius Garland,PG,23,CLE,69,69,35.5,7.6,16.4,0.462,2.4,6,0.41,5.1,10.4,0.492,0.537,4,4.7,0.863,0.4,2.3,2.7,7.8,1.2,0.1,2.9,2.1,21.6,2447,522,1129,169,412,353,717,277,321,28,157,185,538,85,9,199,148,1490,fallback
158,Usman Garuba,PF,20,HOU,75,1,12.9,1.1,2.4,0.486,0.3,0.8,0.407,0.8,1.6,0.525,0.554,0.4,0.6,0.617,1.6,2.5,4.1,0.9,0.6,0.4,0.6,1.8,3,970,86,177,24,59,62,118,29,47,120,187,307,64,44,29,47,135,225,fallback
159,Luka Garza,C,24,MIN,28,0,8.7,2.3,4.1,0.543,0.5,1.4,0.359,1.8,2.8,0.636,0.603,1.5,1.9,0.788,1.2,1.1,2.3,0.6,0.1,0.1,0.5,1.5,6.5,243,63,116,14,39,49,77,41,52,33,30,63,18,3,2,14,43,181,fallback
160,Rudy Gay,PF,36,UTA,56,0,14.6,1.9,5.1,0.38,0.6,2.3,0.254,1.4,2.8,0.484,0.437,0.8,0.9,0.857,0.6,2.3,2.9,1,0.3,0.3,0.7,1.2,5.2,816,109,287,33,130,76,157,42,49,33,130,163,57,19,18,37,68,293,fallback
161,Paul George,SG,32,LAC,56,56,34.6,8.2,17.9,0.457,2.8,7.6,0.371,5.4,10.3,0.521,0.536,4.6,5.3,0.871,0.8,5.3,6.1,5.1,1.5,0.4,3.1,2.8,23.8,1939,459,1004,158,426,301,578,256,294,45,297,342,288,83,20,176,159,1332,fallback
162,Taj Gibson,C,37,WAS,49,2,9.8,1.3,2.6,0.52,0.2,0.5,0.333,1.2,2.1,0.564,0.552,0.6,0.9,0.714,0.7,1.2,1.9,0.7,0.3,0.2,0.5,1.7,3.4,480,65,125,8,24,57,101,30,42,32,61,93,34,15,12,26,84,168,fallback
163,Josh Giddey,SG,20,OKC,76,76,31.1,7.1,14.7,0.482,1,3.1,0.325,6.1,11.6,0.524,0.516,1.4,1.9,0.731,1.9,5.9,7.9,6.2,0.8,0.4,2.8,1.9,16.6,2367,539,1118,76,234,463,884,106,145,148,451,599,469,57,31,211,143,1260,fallback
164,Shai Gilgeous-Alexander,PG,24,OKC,68,68,35.5,10.4,20.3,0.51,0.9,2.5,0.345,9.5,17.8,0.533,0.531,9.8,10.9,0.905,0.9,4,4.8,5.5,1.6,1,2.8,2.8,31.4,2416,704,1381,58,168,646,1213,669,739,59,270,329,371,112,65,192,192,2135,fallback
165,Anthony Gill,PF,30,WAS,59,8,10.6,1.2,2.2,0.538,0.1,0.5,0.138,1.1,1.7,0.65,0.553,0.8,1.1,0.731,0.6,1.1,1.7,0.6,0.1,0.2,0.3,1.2,3.3,624,71,132,4,29,67,103,49,67,37,62,99,34,7,12,15,70,195,fallback
166,Jacob Gilyard,PG,24,MEM,1,0,41,1,3,0.333,1,3,0.333,0,0,0,0.5,0,0,0,0,4,4,7,3,0,2,3,3,41,1,3,1,3,0,0,0,0,0,4,4,7,3,0,2,3,3,fallback
167,Rudy Gobert,C,30,MIN,70,70,30.7,5.1,7.8,0.659,0,0,0,5.1,7.8,0.663,0.659,3.1,4.9,0.644,3.3,8.3,11.6,1.2,0.8,1.4,1.7,3,13.4,2148,360,546,0,3,360,543,219,340,231,583,814,87,56,95,122,210,939,fallback
168,Jordan Goodwin,PG,24,WAS,62,7,17.8,2.5,5.7,0.448,0.6,1.9,0.322,1.9,3.8,0.511,0.501,0.9,1.1,0.768,0.9,2.4,3.3,2.7,0.9,0.4,0.9,1.5,6.6,1106,158,353,38,118,120,235,53,69,57,148,205,168,58,26,57,95,407,fallback
169,Aaron Gordon,PF,27,DEN,68,68,30.2,6.3,11.2,0.564,0.9,2.5,0.347,5.4,8.6,0.628,0.603,2.8,4.6,0.608,2.4,4.1,6.6,3,0.8,0.8,1.4,1.9,16.3,2055,429,761,60,173,369,588,191,314,164,282,446,203,54,51,98,129,1109,fallback
170,Eric Gordon,SG,34,TOT,69,58,28.5,4.2,9.5,0.446,1.9,5.2,0.371,2.3,4.3,0.535,0.547,2.1,2.5,0.821,0.2,1.7,1.9,2.7,0.6,0.4,1.5,1.1,12.4,1965,291,653,132,356,159,297,142,173,16,118,134,183,43,25,104,78,856,fallback
171,Devonte' Graham,PG,27,TOT,73,8,18.3,2.2,5.9,0.374,1.6,4.6,0.352,0.6,1.3,0.452,0.512,1.3,1.8,0.748,0.3,1.4,1.7,2.7,0.6,0.2,0.7,1.1,7.4,1338,161,431,119,338,42,93,98,131,19,103,122,196,45,16,53,79,539,fallback
172,Jerami Grant,PF,28,POR,63,63,35.7,6.9,14.5,0.475,2.3,5.7,0.401,4.6,8.8,0.523,0.554,4.4,5.4,0.813,0.8,3.7,4.5,2.4,0.8,0.8,1.8,2.4,20.5,2246,434,913,144,359,290,554,278,342,53,230,283,150,51,53,116,152,1290,fallback
173,RaiQuan Gray,PF,23,BRK,1,0,35,6,12,0.5,2,5,0.4,4,7,0.571,0.583,2,2,1,3,6,9,7,0,1,4,5,16,35,6,12,2,5,4,7,2,2,3,6,9,7,0,1,4,5,16,fallback
174,A.J. Green,SG,23,MIL,35,1,9.9,1.5,3.6,0.424,1.3,3,0.419,0.3,0.6,0.45,0.6,0.1,0.1,1,0.2,1.1,1.3,0.6,0.2,0,0.3,0.9,4.4,345,53,125,44,105,9,20,4,4,6,39,45,22,6,0,9,31,154,fallback
175,Danny Green,SG,35,TOT,11,0,12.5,2,4.5,0.449,1.5,3.4,0.432,0.5,1.1,0.5,0.612,0.1,0.1,1,0.3,1,1.3,0.5,0.5,0.3,0.9,1.5,5.5,138,22,49,16,37,6,12,1,1,3,11,14,6,6,3,10,16,61,fallback
176,Draymond Green,PF,32,GSW,73,73,31.5,3.4,6.5,0.527,0.5,1.8,0.305,2.9,4.7,0.612,0.57,1.1,1.5,0.713,0.9,6.3,7.2,6.8,1,0.8,2.8,3.1,8.5,2297,250,474,40,131,210,343,77,108,66,459,525,500,74,60,204,229,617,fallback
177,Jalen Green,SG,20,HOU,76,76,34.2,7.4,17.9,0.416,2.5,7.3,0.338,5,10.6,0.471,0.485,4.8,6.1,0.786,0.6,3.2,3.7,3.7,0.8,0.2,2.6,1.7,22.1,2602,566,1359,187,554,379,805,364,463,43,241,284,281,59,18,200,131,1683,fallback
