Detroit,C,Jalen Duren,
Detroit,C,James Wiseman,
Detroit,C,Nerlens Noel,
Team,Pos,Name,Notes
Golden State,PG,Jordan Poole,
Golden State,PG,Ty Jerome,
Golden State,PG (IR),Stephen Curry,Leg injury could keep him out until March
Golden State,PG (IR),Ryan Rollins,Out for season for Jones fracture
Golden State,SG,Klay Thompson,
Golden State,SG,Donte DiVincenzo,
Golden State,SF,Andrew Wiggins,
Golden State,SF,Gary Payton II,
Golden State,SF (2W),Anthony Lamb,
Golden State,SF,Moses Moody,
Golden State,SF,Andre Iguodala,
Golden State,PF,Draymond Green,
Golden State,PF,Jonathan Kuminga,
Golden State,PF,Patrick Baldwin Jr.,
Golden State,C,Kevon Looney,
Golden State,C,JaMychal Green,
Team,Pos,Name,Notes
Houston,PG,Kevin Porter Jr.,
Houston,PG,Daishen Nix,
Houston,PG,TyTy Washington,
Houston,SG,Jalen Green,
Houston,SG,Josh Christopher,
Houston,SG (2W),Trevor Hudgins,
Houston,SF,Jae'Sean Tate,
Houston,SF,K.J. Martin,
Houston,SF,Justin Holiday,
Houston,PF,Jabari Smith Jr.,
Houston,PF,Tari Eason,He really needs Jabari to play some 5 to get loose
Houston,PF,Darius Days,
Houston,C,Alperen Sengun,
Houston,C,Usman Garuba,
Houston,C,Frank Kaminsky,
Team,Pos,Name,Notes
Indiana,PG,Tyrese Haliburton,
Indiana,PG,T.J. McConnell,
Indiana,PG (2W),Trevelin Queen,
Indiana,SG,Andrew Nembhard,
Indiana,SG,George Hill,
Indiana,SG,Chris Duarte,
Indiana,SF,Buddy Hield,
Indiana,SF,Bennedict Mathurian,
Indiana,SF (2W),Kendall Brown,
Indiana,PF,Aaron Nesmith,
Indiana,PF,Oshae Brissett,
Indiana,PF,Jordan Nwora,
Indiana,C,Myles Turner,
Indiana,C,Jalen Smith,
Indiana,C,Isaiah Jackson,
Indiana,C,Daniel Theis,
Team,Pos,Name,Notes
L.A. Clippers,PG,Terance Mann,
L.A. Clippers,PG,Bones Hyland,
L.A. Clippers,PG,Jason Preston,
L.A. Clippers,SG,Paul George,
L.A. Clippers,SG,Eric Gordon,
L.A. Clippers,SG,Brandon Boston,
L.A. Clippers,SF,Kawhi Leonard,
L.A. Clippers,SF,Norman Powell,
L.A. Clippers,SF,Amir Coffey,
L.A. Clippers,PF,Marcus Morris,
L.A. Clippers,PF,Nicolas Batum,
L.A. Clippers,PF,Robert Covington,
L.A. Clippers,C,Ivica Zubac,
L.A. Clippers,C,Mason Plumlee,
L.A. Clippers,C (2W),Moses Brown,
L.A. Clippers,C (2W),Moussa Diabate,
Team,Pos,Name,Notes
L.A. Lakers,PG,D'Angelo Russell,
L.A. Lakers,PG (2W),Scotty Pippen Jr.,
L.A. Lakers,SG,Dennis Schroder,
L.A. Lakers,SG,Austin Reaves,
L.A. Lakers,SG,Lonnie Walker,
L.A. Lakers,SG,Davon Reed,
L.A. Lakers,SG,Max Christie,
L.A. Lakers,SF,LeBron James,
L.A. Lakers,SF,Malik Beasley,
L.A. Lakers,SF,Troy Brown Jr.,
L.A. Lakers,SF (2W),Cole Swider,
L.A. Lakers,PF,Rui Hachimura,
L.A. Lakers,PF,Jarred Vanderbilt,
L.A. Lakers,C,Anthony Davis,
L.A. Lakers,C,Wenyen Gabriel,
L.A. Lakers,C,Mo Bamba,
Team,Pos,Name,Notes
Memphis,PG,Ja Morant,
Memphis,PG,Tyus Jones,
Memphis,PG,Kennedy Chandler,
Memphis,SG,Desmond Bane,
Memphis,SG,Luke Kennard,
Memphis,SG,Ziaire Williams,Subbing behind Bane
Memphis,SF,Dillon Brooks,
Memphis,SF,John Konchar,
Memphis,SF,David Roddy,
Memphis,SF (2W),Vincent Williams Jr.,
Memphis,PF,Jaren Jackson Jr.,
Memphis,PF,Santi Aldama,
Memphis,PF,Jake LaRavia,
Memphis,PF (2W),Kenneth Lofton Jr.,
Memphis,C,Xavier Tillman,
Memphis,C,Brandon Clarke,
Memphis,C (IR),Steven Adams,
Team,Pos,Name,Notes
Miami,PG,Kyle Lowry,
Miami,PG,Gabe Vincent,
Miami,PG,Jamaree Bouyea,
Miami,SG,Tyler Herro,
Miami,SG,Victor Oladipo,
Miami,SG,Duncan Robinson,
Miami,SF,Jimmy Butler,
Miami,SF,Max Strus,
Miami,PF,Caleb Martin,
Miami,PF,Haywood Highsmith,
Miami,PF,Nikola Jovic,
Miami,PF (2W),Jamal Cain,
Miami,C,Bam Adebayo,
Miami,C (2W),Orlando Robinson,
Miami,C,Omer Yurtseven,
Miami,C,Udonis Haslem,
Team,Pos,Name,Notes
Milwaukee,PG,Jrue Holiday,
Milwaukee,PG,Jevon Carter,
Milwaukee,SG,Grayson Allen,
Milwaukee,SG,MarJon Beauchamp,
Milwaukee,SG (2W),AJ Green,
Milwaukee,SF,Pat Connaughton,
Milwaukee,SF,Khris Middleton,
Milwaukee,SF,Joe Ingles,
Milwaukee ,SF,Wes Matthews,
Milwaukee,PF,Giannis Antetokounmpo,
Milwaukee,PF,Jae Crowder,
Milwaukee,PF,Thanasis Antetokounmpo,
Milwaukee,C,Brook Lopez,
Milwaukee,C,Bobby Portis,
Milwaukee,C (2W),Sandro Mamukelashavili,
Team,Pos,Name,Notes
Minnesota,PG,Mike Conley,
Minnesota,PG,Jordan McLaughlin,
Minnesota,PG,Austin Rivers,
Minnesota,SG,Anthony Edwards,
Minnesota,SG,Jaylen Nowell,
Minnesota,SG,Wendell Moore Jr.,
Minnesota,SF,Jaden McDaniels,
Minnesota,SF (2W),Matt Ryan,
Minnesota,SF,Josh Minott,
Minnesota,PF,Kyle Anderson,
Minnesota,PF,Taurean Prince,
Minnesota,PF,Nathan Knight,
Minnesota,PF (IR),Karl-Anthony Towns,Could be back in March
Minnesota,C,Rudy Gobert,
Minnesota,C,Naz Reid,
Minnesota,C (2W),Luka Garza,
Team,Pos,Name,Notes
New Orleans,PG,CJ McCollum,
New Orleans,PG,Jose Alvarado,
New Orleans,PG,Kira Lewis,
New Orleans,SG,Brandon Ingram,
New Orleans,SG,Josh Richardson,
New Orleans,SG,Dyson Daniels,
New Orleans,SG (2W),EJ Liddell,
New Orleans,SF,Herbert Jones,
New Orleans,SF,Naji Marshall,
New Orleans,SF,Garrett Temple,
New Orleans,SF (2W),Dereon Seabron,
New Orleans,PF,Trey Murphy,
New Orleans,PF,Jaxson Hayes,
New Orleans,PF (IR),Zion Williamson,
New Orleans,C,Jonas Valanciunas,
New Orleans,C,Larry Nance,Subbing for JV
New Orleans,C,Willy Hernangomez,
Team,Pos,Name,Notes
New York,PG,Jalen Brunson,
New York,PG,Immanuel Quickley,
New York,PG,Miles McBride,
New York,PG,Derrick Rose,
New York,SG,Quentin Grimes,
New York,SG,Josh Hart,
New York,SG (2W),Feron Hunt,
New York,SG (2W),Trevor Keels,
New York,SF,RJ Barrett,
New York,SF,Evan Fournier,
New York,SF,DaQuan Jeffries,
New York,PF,Julius Randle,
New York,PF,Obi Toppin,
New York,C,Jericho Sims,
New York,C,Isaiah Hartenstein,
New York,C (IR),Mitchell Robinson,
Team,Pos,Name,Notes
Oklahoma City,PG,Shai Gilgeous-Alexander,Knee injury could keep him out to start the season
Oklahoma City,PG,Tre Mann,
Oklahoma City,SG,Josh Giddey,Will start at PG when SGA sits
Oklahoma City,SG,Isaiah Joe,
Oklahoma City,SG (2W),Lindy Waters III,
Oklahoma City,SF,Luguentz Dort,
Oklahoma City,SF,Aaron Wiggins,
Oklahoma City,PF,Jalen Williams,
Oklahoma City,PF,Dario Saric,
Oklahoma City,PF (2W),Eugene Omoruyi,
Oklahoma City,PF (IR),Aleksej Pokusevski,
Oklahoma City,C,Jaylin Williams,
Oklahoma City,C,Kenrich Williams,
Oklahoma City,C,Jeremiah Robinson-Earl,
Oklahoma City,C,Ousmane Dieng,"Subs in as C2, but plays PF"
Oklahoma City,C (IR),Chet Holmgren,Ugh
Team,Pos,Name,Notes
Orlando,PG,Markelle Fultz,
Orlando,PG,Cole Anthony,
Orlando,SG,Gary Harris,
Orlando,SG,Jalen Suggs,
Orlando,SG (2W),Kevon Harris,
Orlando,SG,RJ Hampton,
Orlando,SF,Franz Wagner,
Orlando,SF,Caleb Houstan,
Orlando,SF (2W),Admiral Schofield,
Orlando,PF,Paolo Banchero,
Orlando,PF,Jonathan Isaac,
Orlando,PF,Chuma Okeke,
Orlando,C,Wendell Carter Jr.,
Orlando,C,Mortiz Wagner,
Orlando,C,Bol Bol,
Team,Pos,Name,Notes
Philadelphia,PG,James Harden,
Philadelphia,PG,Shake Milton,Subs for Maxey
Philadelphia,SG,De'Anthony Melton,
Philadelphia,SG,Tyrese Maxey,
Philadelphia,SG,Furkan Korkmaz,
Philadelphia,SG,Jaden Springer,
Philadelphia,SF,Tobias Harris,
Philadelphia,SF,Danuel House,Subs for Tucker
Philadelphia,SF,Jalen McDaniels,
Philadelphia,SF (2W),Julian Champagnie,
Philadelphia,PF,PJ Tucker,
Philadelphia,PF,Georges Niang,Subs for Tobias
Philadelphia,PF (2W),Louis King,
Philadelphia,C,Joel Embiid,
Philadelphia,C,Montrezl Harrell,
Philadelphia,C,Paul Reed,
Team,Pos,Name,Notes
Phoenix,PG,Chris Paul,
Phoenix,PG (2W),Saben Lee,
Phoenix,PG (IR),Cameron Payne,
Phoenix,SG,Devin Booker,
Phoenix,SG,Landry Shamet,
Phoenix,SG,Damion Lee,
Phoenix,SF,Torrey Craig,
Phoenix,SF,TJ Warren,
Phoenix,SF,Josh Okogie,
Phoenix,PF,Kevin Durant,
Phoenix,PF (2W),Ish Wainwright,
Phoenix,PF,Darius Bazley,
Phoenix,C,Deandre Ayton,
Phoenix,C,Jock Landale,
Phoenix,C,Bismack Biyombo,
Team,Pos,Name,Notes
Portland,PG,Damian Lillard,
Portland,PG,Keon Johnson,
Portland,SG,Anfernee Simons,
Portland,SG,Shaedon Sharpe,
Portland,SF,Cam Reddish,
Portland,SF,Matisse Thybulle,
Portland,SF,Nassir Little,
Portland,SF,Kevin Knox,
Portland,PF,Jerami Grant,
Portland,PF,Justise Winslow,
Portland,PF,Jabari Walker,
Portland,PF (2W),John Butler Jr.,
Portland,C,Drew Eubanks,
Portland,C,Trendon Watford,
Portland,C (2W),Ibou Badji,
Portland,C (IR),Jusuf Nurkic,
Team,Pos,Name,Notes
Sacramento,PG,De'Aaron Fox,
Sacramento,PG,Davion Mitchell,
Sacramento,PG,Matthew Dellavedova,
Sacramento,SG,Kevin Huerter,
Sacramento,SG,Malik Monk,
Sacramento,SF,Harrison Barnes,
Sacramento,SF,Terence Davis II,
Sacramento,SF,Kessler Edwards,
Sacramento,SF (2W),Keon Ellis,
Sacramento,PF,Keegan Murray,
Sacramento,PF,Trey Lyles,
Sacramento,PF,KZ Okpala,
Sacramento,C,Domantas Sabonis,
Sacramento,C,Chimezie Metu,
Sacramento,C,Richaun Holmes,
Sacramento,C (2W),Neemias Queta,
Sacramento,C,Alex Len,
Team,Pos,Name,Notes
San Antonio,PG,Tre Jones,
San Antonio,PG,Devonte' Graham,
San Antonio,PG,Blake Wesley,
San Antonio,SG,Malaki Branham,
San Antonio,SG,Romeo Langford,
San Antonio,SG (IR),Devin Vassell,
San Antonio,SF,Keldon Johnson,
San Antonio,SF,Keita Bates-Diop,
San Antonio,SF,Doug McDermott,
San Antonio,PF,Jeremy Sochan,
San Antonio,PF,Isaiah Roby,
San Antonio,PF (2W),Dominick Barlow,
San Antonio,C,Zach Collins,
